word,valence,arousal,dominance
abhorrent,-0.542,0.5,-0.052
afraid,-0.98,0.55,-0.51
alarmed,-0.624,0.644,-0.016
angry,-0.756,0.66,0.208
annoyed,-0.792,0.566,-0.31
annoying,-0.836,0.706,-0.304
ashamed,-0.688,0.176,-0.544
awesome,0.96,0.794,0.782
awestruck,0.23,0.534,0.36
calm,0.75,-0.8,-0.436
caring,0.27,-0.062,0.0
cheerful,0.98,0.44,0.392
cheery,0.898,0.314,-0.028
cold,-0.204,0.076,-0.304
confident,0.53,-0.352,0.446
content,0.528,-0.408,0.118
cool,0.77,0.08,0.562
courageous,0.836,0.174,0.758
cowardly,-0.796,-0.23,-0.746
crabby,-0.604,0.624,-0.26
cranky,-0.612,0.552,-0.208
cross,-0.104,-0.358,0.138
cruel,-0.756,0.732,-0.218
curious,0.27,0.2,-0.034
cynical,-0.688,0.52,-0.052
daring,0.166,0.68,0.422
delighted,0.876,0.328,0.37
delightful,0.836,0.47,0.288
depressed,-0.952,-0.11,-0.728
desperate,-0.834,0.684,-0.326
determined,0.52,0.056,0.346
devoted,0.734,-0.36,0.396
disappointed,-0.858,-0.056,-0.518
discontent,-0.52,0.06,-0.474
disgusted,-0.898,0.546,-0.452
dismayed,-0.67,0.47,-0.222
displeased,-0.73,0.38,-0.2
disturbed,-0.75,0.74,-0.39
doubtful,-0.5,-0.07,-0.518
downcast,-0.858,0.0,-0.556
dreary,-0.48,-0.02,-0.352
ecstatic,0.75,0.538,0.484
elated,0.584,0.92,0.45
embarrassed,-0.632,0.12,-0.508
emotional,0.558,0.428,0.052
enraged,-0.834,0.924,0.272
enthusiastic,0.77,0.736,0.696
envious,-0.78,0.508,-0.318
excited,0.816,0.862,0.418
exhausted,-0.754,-0.154,-0.596
exhilarated,0.78,0.926,0.518
expectant,0.416,0.3,-0.052
fascinated,0.624,0.428,0.576
fatigued,-0.708,-0.134,-0.51
fearful,-0.834,-0.036,-0.444
fearless,0.62,0.612,0.52
fervent,0.292,0.264,0.546
fierce,-0.438,0.754,0.518
flustered,-0.368,0.806,-0.434
frantic,-0.58,0.78,0.254
frantically,-0.25,0.796,0.47
frightened,-0.694,0.634,-0.49
frustrated,-0.84,0.302,-0.49
furious,-0.876,0.906,0.196
furiously,-0.876,0.85,0.314
generous,1.0,-0.18,0.62
giddy,-0.124,0.694,0.222
glad,0.876,0.52,0.48
gleeful,0.812,0.612,0.358
gloomy,-0.786,-0.18,-0.426
gracious,0.836,0.268,0.274
grateful,0.916,-0.294,0.12
greedy,-0.75,0.32,-0.048
grim,-0.38,-0.034,-0.404
grouchy,-0.714,0.416,-0.186
grumpy,-0.604,0.616,0.118
guarded,0.516,0.372,0.0
guilty,-0.73,0.54,-0.296
happy,1.0,0.47,0.544
harsh,-0.5,0.3,0.246
hateful,-0.858,0.638,-0.14
haunted,-0.472,0.462,0.04
heartbroken,-0.836,0.102,-0.53
hesitant,-0.334,0.084,-0.358
hopeful,0.894,-0.286,0.254
horrified,-0.92,0.77,-0.264
hostile,-0.624,0.754,-0.052
humble,0.734,-0.528,-0.034
humiliated,-0.792,0.424,-0.568
humorous,0.812,0.232,0.33
hungry,-0.834,0.38,-0.492
hysterical,-0.42,0.884,-0.204
impressed,0.612,0.54,-0.142
indifferent,-0.208,-0.686,-0.5
infatuated,0.458,0.528,-0.166
infuriated,-0.854,0.86,0.02
inquisitive,-0.398,0.274,0.23
insecure,-0.772,0.076,-0.736
inspired,0.934,0.404,0.472
interested,0.5,0.058,0.45
intimidated,-0.646,0.326,-0.584
irate,-0.624,0.704,-0.052
irritated,-0.58,0.632,-0.438
jaded,-0.49,0.12,-0.2
jealous,-0.654,0.71,-0.31
jittery,-0.312,0.712,-0.49
joyful,0.98,0.48,0.334
jubilant,0.688,0.346,0.328
jumpy,-0.294,0.62,-0.568
keen,0.646,0.438,0.612
kind,0.836,-0.52,0.236
kindness,0.876,-0.3,0.016
kindred,0.52,-0.164,0.034
lazy,-0.216,-0.472,-0.808
lethargic,-0.572,-0.51,-0.25
livid,-0.062,0.576,-0.02
lonely,-0.5,-0.548,-0.524
loving,0.896,0.224,0.272
loyal,0.792,-0.47,0.314
lucky,0.92,0.22,0.586
mad,-0.562,0.746,-0.446
melancholic,-0.638,-0.388,-0.446
mellow,0.266,-0.862,-0.47
miserable,-0.876,-0.078,-0.624
moody,-0.51,0.622,0.19
morose,-0.52,0.326,-0.472
mournful,-0.64,-0.118,-0.624
needy,-0.28,-0.098,-0.51
negative,-0.796,0.054,-0.648
nervous,-0.53,0.64,-0.574
numb,-0.784,-0.16,-0.296
obsessed,-0.562,0.68,-0.122
offended,-0.624,0.38,-0.326
optimistic,0.958,0.16,0.642
outraged,-0.688,0.392,0.076
overwhelmed,-0.318,0.36,-0.304
panicked,-0.8,0.898,-0.48
passionate,0.98,0.654,0.462
peaceful,0.734,-0.784,0.138
perplexed,-0.376,0.41,-0.364
pessimistic,-0.824,-0.212,-0.528
pleased,0.878,0.096,0.59
proud,0.812,0.4,0.746
puzzled,-0.592,0.0,-0.456
queasy,-0.5,0.174,-0.55
quiet,0.584,-0.79,-0.138
rattled,-0.292,0.282,-0.34
reassured,0.708,-0.628,0.038
regretful,-0.666,-0.04,-0.624
relaxed,0.73,-0.82,-0.236
remorseful,-0.306,-0.142,-0.5
resentful,-0.76,0.216,-0.352
resigned,-0.52,-0.66,-0.464
restless,-0.562,0.62,-0.392
sad,-0.55,-0.334,-0.702
satisfied,0.918,0.02,0.37
scared,-0.708,0.656,-0.63
secure,0.688,-0.24,0.828
shocked,-0.416,0.546,-0.25
shy,-0.44,-0.694,-0.736
sorrowful,-0.902,-0.156,-0.674
stressed,-0.666,0.48,0.004
surprised,0.568,0.71,0.078
suspicious,-0.694,0.49,-0.138
sympathetic,0.592,-0.132,0.218
tense,-0.208,-0.122,0.31
terrified,-0.82,0.804,-0.226
thankful,0.938,-0.312,0.428
thoughtful,0.334,-0.42,0.054
thrilled,0.796,0.636,0.614
tired,-0.75,-0.366,-0.618
troubled,-0.666,0.254,-0.23
trusting,0.714,0.016,0.5
uncomfortable,-0.624,0.22,-0.572
understood,0.56,-0.118,0.372
uneasy,-0.77,0.196,-0.302
unhappy,-0.776,0.0,-0.69
unsettled,-0.584,0.294,-0.66
unwanted,-0.646,0.092,-0.59
upset,-0.858,0.36,-0.34
vengeful,-0.7,0.68,0.122
victimized,-0.77,0.288,-0.454
vulnerable,-0.604,-0.02,-0.51
warm,0.52,-0.376,0.17
wary,0.02,-0.314,0.07
weary,-0.612,-0.438,-0.596
welcoming,0.81,0.054,0.272
wistful,-0.354,-0.098,-0.376
withdrawn,-0.636,-0.264,-0.558
worried,-0.812,0.648,-0.21
wounded,-0.77,0.54,-0.45
yearning,0.418,0.02,0.074
yielding,-0.02,0.286,-0.112
zealous,-0.416,0.658,-0.306
